borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
MN,1273,9,105.0,4.0,10019.0,18.0,43 WEST 57 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,3256,0,32.42,100.42,5,2070000,0,,,1,990843.0,217699.0,40.7642074,-73.9761997,8c,,New York
MN,818,56,105.0,3.0,10011.0,13.0,8 WEST 17 STREET,NY,V1,11,,10 WEST 17TH STREET FEE LLC,4140,0,45.0,92.0,5,1950750,0,Ladies' Mile Historic District,,1,986151.0,208175.0,40.7380687,-73.9931402,8d,,New York
MN,831,29,105.0,3.0,10001.0,14.0,9 WEST 29 STREET,NY,V1,11,,HFZ KIK 30TH STREET OWNER LLC,2765,0,28.0,98.75,5,1111050,0,,,1,987681.0,211019.0,40.7458743,-73.9876177,8d,,New York
MN,444,40,103.0,2.0,10003.0,9.0,37 1 AVENUE,NY,V1,11,,FIRST TOWER LLC,1450,0,20.0,72.5,5,335700,0,,,1,987546.0,203135.0,40.7242347,-73.9881088,12c,,New York
MN,1395,24,108.0,4.0,10022.0,19.0,151 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,769950,0,,,1,993362.0,217202.0,40.762841,-73.967107,8c,,New York
MN,542,6,102.0,2.0,10014.0,6.0,6 AVENUE,NY,V1,11,,290 TENANTS CORP.,12,0,5.67,3.92,8,1004,0,,,1,983767.0,205296.0,40.7301667,-74.0017427,12a,,New York
MN,1272,5,105.0,4.0,10019.0,18.0,61 WEST 56 STREET,NY,V1,11,,"5657 REALTY CORP.,",4600,0,46.0,100.42,5,3235500,0,,,1,990621.0,217480.0,40.7636065,-73.9770014,8c,,New York
MN,1272,45,105.0,4.0,10019.0,18.0,6 WEST 57 STREET,NY,V1,11,,6 WEST 57TH ST REALTY,6577,1,65.5,100.42,5,2010600,1917,,,1,991198.0,217281.0,40.7630598,-73.9749186,8c,,New York
MN,1272,47,105.0,4.0,10019.0,18.0,10 WEST 57 STREET,NY,V1,11,,10 WEST 57TH STREET REALTY LLC,7230,0,72.0,100.42,5,7247318,0,,,1,991138.0,217315.0,40.7631532,-73.9751352,8c,,New York
MN,1969,7,109.0,7.0,10027.0,26.0,478 WEST 130 STREET,NY,V1,11,,487 W 129TH ST PERMANENT HOUSING DEV FUN D CORP,9534,0,95.42,99.92,0,1148400,0,,,1,997012.0,236284.0,40.8152115,-73.9538948,6a,,New York
MN,1967,9,109.0,7.0,10027.0,26.0,429 WEST 126 STREET,NY,V1,11,,423 COLUMBIA REALTY LLC,1200,0,28.17,75.0,5,188100,0,,,1,996859.0,235462.0,40.8129555,-73.9544491,6a,,New York
MN,1944,40,110.0,9.0,10026.0,28.0,310 WEST 118 STREET,NY,V1,11,,2173 EQUITIES LLC,2523,0,25.0,100.92,5,222750,0,,,1,996622.0,232873.0,40.8058498,-73.95531,6a,,New York
MN,1943,25,110.0,9.0,10026.0,28.0,311 WEST 116 STREET,NY,V1,11,,388 MANHATTAN AVE CORP             C/O Y UCO MANGERMENT INC.,2523,0,25.0,100.92,5,222750,0,,,1,996445.0,232555.0,40.8049772,-73.95595,6a,,New York
