borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
SI,623,125,501.0,49.0,10304.0,120.0,1040 VAN DUZER STREET,NY,V0,11,,"GIANT THUJAS, INC.",7700,0,50.0,154.0,5,21600,0,,,5,959921.0,162924.0,40.6138317,-74.0876281,21d,,New York
SI,7800,60,503.0,51.0,10307.0,123.0,8 COLITA COURT,NY,V0,11,M,COLITA COURT LLC,10028,0,97.0,118.0,3,1998,0,,,5,919799.0,122316.0,40.50217,-74.231752,35a,,New York
SI,7826,243,503.0,51.0,10307.0,123.0,261 SPRAGUE AVENUE,NY,V0,11,,"CELLO BUILDERS, INC.",11200,0,56.0,200.0,5,30180,0,,,5,918220.0,123242.0,40.5047,-74.2374388,35a,,New York
SI,2627,19,502.0,50.0,10314.0,121.0,104 BURKE AVENUE,NY,V0,11,,"WALLACE AVENUE BUIDERS, LLC",2500,0,25.0,100.0,5,5520,0,,,5,932183.0,155264.0,40.592687,-74.1874755,26a,,New York
SI,3203,13,502.0,50.0,10305.0,122.0,25 MARIE STREET,NY,V0,11,,ALL SHORES LLC,3307,0,22.5,113.7,5,9300,0,,,5,960749.0,158284.0,40.6010981,-74.0846297,27c,,New York
SI,197,132,501.0,49.0,10310.0,120.0,1155 CASTLETON AVENUE,NY,V1,11,,"VASERMAN, VITALIY",1134,0,11.0,100.0,8,12960,0,,,5,950686.0,170449.0,40.6344561,-74.1209281,21a,,New York
SI,5147,49,503.0,51.0,10308.0,122.0,83 RUSTIC PLACE,NY,V0,11,,ISLAND WIDE BUILDING CORP.,6716,0,44.99,150.0,5,28260,0,,,5,943258.0,138785.0,40.5475136,-74.1474984,33c,,New York
SI,3837,10,502.0,50.0,10305.0,122.0,719 BUEL AVENUE,NY,V0,11,C,CITY OF NEW YORK,2240,0,20.0,112.0,5,6540,0,,,5,961962.0,150194.0,40.5788958,-74.0802349,27d,,New York
SI,3838,14,502.0,50.0,10305.0,122.0,628 QUINCY AVENUE,NY,V0,11,C,CITY OF NEW YORK,4000,0,40.0,100.0,5,12000,0,,,5,961727.0,150098.0,40.5786317,-74.0810805,27d,,New York
SI,3837,16,502.0,50.0,10305.0,122.0,610 QUINCY AVENUE,NY,V0,11,C,CITY OF NEW YORK,2600,0,26.0,100.0,3,9120,0,,,5,961822.0,150236.0,40.5790107,-74.080739,27d,,New York
SI,3837,8,502.0,50.0,10305.0,122.0,725A BUEL AVENUE,NY,V0,11,C,CITY OF NEW YORK,1406,0,12.0,112.0,5,4140,0,,,5,962010.0,150161.0,40.5788054,-74.080062,27d,,New York
SI,3837,108,502.0,50.0,10305.0,122.0,723 BUEL AVENUE,NY,V0,11,C,CITY OF NEW YORK,2240,0,20.0,112.0,5,6540,0,,,5,961995.0,150171.0,40.5788328,-74.080116,27d,,New York
SI,3838,30,502.0,50.0,10305.0,122.0,730 BUEL AVENUE,NY,V0,11,,"TAVELLA, VINCENT",1700,0,20.0,85.0,5,180,0,,,5,961966.0,149987.0,40.5783277,-74.0802198,27d,,New York
SI,3838,41,502.0,50.0,10305.0,122.0,711 OCEANSIDE AVENUE,NY,V0,11,C,CITY OF NEW YORK,2852,0,45.94,60.0,5,9120,0,,,5,961848.0,149872.0,40.5780117,-74.0806442,27d,,New York
SI,3838,32,502.0,50.0,10305.0,122.0,691 FATHER CAPODANNO BL,NY,V0,11,X,VINCENT TAVELLA,2996,0,28.0,107.0,3,10380,0,,,5,962033.0,149978.0,40.5783031,-74.0799786,27d,,New York
SI,3837,1,502.0,50.0,10305.0,122.0,735 BUEL AVENUE,NY,V0,11,,LISA FAMILY IRREVOCABLE TRUST B,2840,0,20.0,112.0,3,9840,0,,,5,962142.0,150134.0,40.5787316,-74.0795867,27d,,New York
SI,3837,3,502.0,50.0,10305.0,122.0,731 BUEL AVENUE,NY,V0,11,,"HARBEN, MICHAEL",2248,0,20.0,112.42,5,6600,0,,,5,962077.0,150115.0,40.5786793,-74.0798206,27d,,New York
SI,3864,1,502.0,50.0,10306.0,122.0,929 FATHER CAPODANNO BL,NY,V0,11,,"TINKARI, SMRITI",5547,0,43.0,129.0,5,17340,0,,,5,960269.0,148492.0,40.5742197,-74.0863235,27d,,New York
SI,3481,18,502.0,50.0,10305.0,122.0,752 SEAVIEW AVENUE,NY,V0,11,,"XU, JIN HUA",2000,0,20.0,100.0,5,5880,0,,,5,962191.0,150496.0,40.5797253,-74.0794115,27d,,New York
SI,3481,5,502.0,50.0,10305.0,122.0,572 QUINCY AVENUE,NY,V0,11,,"RAHANIS, EFSTRATIOS",2000,0,20.0,100.0,5,5880,0,,,5,962024.0,150537.0,40.5798374,-74.0800128,27d,,New York
SI,3802,5,502.0,50.0,10306.0,122.0,521 LINCOLN AVENUE,NY,V0,11,,RESILIENT HOMES HOUSING DEVELOPMENT FUND  COMPANY INC.,2000,0,20.0,100.0,5,5160,0,,,5,957634.0,147967.0,40.5727712,-74.0958065,27b,,New York
SI,6228,58,503.0,51.0,10312.0,123.0,139 DETROIT AVENUE,NY,V0,11,,137 DETROIT AVE LLC,4000,0,40.0,100.0,5,8640,0,,,5,934571.0,137882.0,40.5449906,-74.1787494,33a,,New York
SI,3881,3,502.0,50.0,10306.0,122.0,527 GREELEY AVENUE,NY,V0,11,,RESILIENT HOMES HOUSING DEVELOPMENT FUND  COMPANY INC.,2900,0,29.0,100.0,5,9600,0,,,5,957403.0,147569.0,40.5716781,-74.0966364,27b,,New York
SI,4746,20,503.0,50.0,10306.0,122.0,35 DELWIT AVENUE,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",3900,0,26.0,150.0,5,11700,0,,,5,951409.0,140954.0,40.553501,-74.1181798,34a,,New York
SI,4746,4,503.0,50.0,10306.0,122.0,677 MILL ROAD,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",2520,0,14.0,175.0,5,7680,0,,,5,951541.0,141091.0,40.5538775,-74.1177055,34a,,New York
SI,4746,16,503.0,50.0,10306.0,122.0,23 DELWIT AVENUE,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",2400,0,16.0,150.0,5,7020,0,,,5,951493.0,140973.0,40.5535535,-74.1178776,34a,,New York
SI,4746,2,503.0,50.0,10306.0,122.0,673 MILL ROAD,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",2380,0,14.0,178.0,5,7260,0,,,5,951543.0,141120.0,40.5539572,-74.1176984,34a,,New York
SI,4690,139,503.0,50.0,10306.0,122.0,560 RIGA STREET,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",1920,0,24.0,80.0,5,5640,0,,,5,951598.0,141795.0,40.5558101,-74.1175038,34a,,New York
SI,4690,114,503.0,50.0,10306.0,122.0,597 MILL ROAD,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",1325,0,14.0,102.0,5,4080,0,,,5,951713.0,141626.0,40.5553466,-74.1170891,34a,,New York
SI,4690,110,503.0,50.0,10306.0,122.0,589 MILL ROAD,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",2150,0,22.0,90.0,5,6600,0,,,5,951744.0,141678.0,40.5554895,-74.1169778,34a,,New York
SI,4690,121,503.0,50.0,10306.0,122.0,607 MILL ROAD,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",1278,0,14.0,91.0,5,3900,0,,,5,951669.0,141536.0,40.5550995,-74.117247,34a,,New York
SI,4767,38,503.0,50.0,10306.0,122.0,226 FOX LANE,NY,V0,11,C,CITY OF NEW YORK,1500,0,25.0,60.0,5,4380,0,,,5,951923.0,141339.0,40.5545597,-74.116332,34a,,New York
SI,4767,22,503.0,50.0,10306.0,122.0,179 FOX BEACH AVENUE,NY,V0,11,C,CITY OF NEW YORK,2700,0,45.0,60.0,5,7920,0,,,5,951857.0,141326.0,40.5545237,-74.1165695,34a,,New York
SI,4767,39,503.0,50.0,10306.0,122.0,222 FOX LANE,NY,V0,11,C,CITY OF NEW YORK,1500,0,25.0,60.0,5,4380,0,,,5,951940.0,141320.0,40.5545076,-74.1162708,34a,,New York
SI,3856,17,502.0,50.0,10306.0,122.0,637 JEFFERSON AVENUE,NY,V0,11,C,NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION,1740,0,30.0,58.0,2,5100,0,,,5,960110.0,148741.0,40.5749028,-74.0868967,27d,,New York
SI,6523,25,503.0,51.0,10312.0,123.0,119 ARBUTUS AVENUE,NY,V0,11,,ARBUTUS WOODS CORP.,7156,0,50.0,145.61,0,20580,0,,,5,933149.0,132939.0,40.531415,-74.1838286,33b,,New York
SI,5474,19,503.0,51.0,10308.0,122.0,31 EAST READING AVENUE,NY,V0,11,,"EAST READING HOLDINGS, LLC",5192,0,26.0,200.0,5,17580,0,,,5,939734.0,142256.0,40.5570238,-74.1602013,33c,,New York
SI,4792,208,503.0,50.0,10306.0,122.0,641 CEDAR GROVE AVENUE,NY,V0,11,C,CITY OF NEW YORK,1775,0,25.0,71.0,5,5220,0,,,5,952720.0,140126.0,40.5512331,-74.1134583,34a,,New York
SI,1801,45,502.0,50.0,10314.0,121.0,1780 SOUTH AVENUE,NY,V1,11,,1900 SOUTH OWNER LLC,309896,0,552.0,584.0,3,431550,0,,,5,930691.0,158951.0,40.6027982,-74.1928769,26a,,New York
SI,3792,12,502.0,50.0,10306.0,122.0,952 OLYMPIA BOULEVARD,NY,V0,11,,"YAN, XIAN JING",3760,0,40.0,94.0,5,11280,0,,,5,959100.0,148827.0,40.575136,-74.0905327,27b,,New York
SI,4754,59,503.0,50.0,10306.0,122.0,24 KISSAM AVENUE,NY,V0,11,C,CITY OF NEW YORK,2060,0,25.0,82.42,5,6060,0,,,5,952674.0,142035.0,40.5564727,-74.1136327,34a,,New York
SI,1262,18,501.0,49.0,10303.0,121.0,445 SOUTH AVENUE,NY,V1,11,,FOREST ASSOCIATES,4525,0,25.0,181.0,5,99450,0,,,5,938165.0,168215.0,40.6282679,-74.1660248,20c,,New York
SI,5238,7,503.0,51.0,10312.0,122.0,460 THORNYCROFT AVENUE,NY,V0,11,,UNAVAILABLE OWNER,1020,0,15.0,68.0,5,3720,0,,,5,939557.0,137196.0,40.5431342,-74.1608049,33c,,New York
