borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1395,25,108,114.02,1002,2,4,10022,E039,19,4800,1,1A,153 EAST 60 STREET,C5-2,,,,,,,,,,false,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20,100.42,0,0,,0,false,5,5,1080000,1080000,0,0,0,0,,,0,10,10,10,1,1013950025,,11402,993380,217192,40.7628136,-73.967042,8c,,106E045,10509,,,,1,24v3,8,13,,,,,,,,,,,,,,1011402,10114021002
MN,1313,63,105,112.03,2000,2,4,10022,E008,18,4800,1,2B,120 EAST 59 STREET,C5-2.5,,,,,,MiD,,,,false,V1,11,0,,118 EAST 59TH STREET REALTY LLC,5021,0,,,,,,,,,7,0,,0,0,50,100.42,0,0,,0,false,5,5,2952900,2952900,0,0,0,0,,,0,10,12,12,1,1013130063,,11203,992827,217019,40.7623393,-73.9690385,8c,,106E045,10505,,,,1,24v3,5,13,,,,,,,,,,,,,,1011203,10112032000
MN,2050,158,109,227,2000,6,9,10030,L023,30,720,1,3B,ST NICHOLAS AVENUE,R6A,,,,,,,,,,false,V1,11,0,,CHIN YUIEN M,990,0,,,,,,,,,7,0,,0,0,55,18,0,0,,0,false,6,5,12150,12150,0,0,0,0,,,0,3,0,3,1,1020500158,,227,999139,238927,40.8224624,-73.9462047,6a,,111S039,10709,,,,1,24v3,9,17,,,,,,,,,,,,,,1022700,10227002000
MN,2034,17,110,234,1002,5,9,10039,E069,32,800,1,4A,223 WEST 148 STREET,R7-2,,,,,,,,,,false,V1,11,0,X,HARLEM CONGREGATION FOR COMMUNITY IMPROV EMENT INC,2498,0,,,,,,,,,7,0,,0,0,25,99.92,0,0,,0,false,5,5,193950,193950,193950,0,0,0,,,0,3.44,0,6.5,1,1020340017,,234,1001155,239608,40.824328,-73.938919,6a,,111N059,10709,,,,1,24v3,10,11,,,,,,,,,,,,,,1023400,10234001002
MN,2034,15,110,234,1002,5,9,10039,E069,32,800,1,4A,WEST 148 STREET,R7-2,,,,,,,,,,false,V1,11,0,X,HARLEM CONGREGATIONS FOR COMMUNITY IMPRO VEMENT INC,2498,0,,,,,,,,,7,0,,0,0,25,99.92,0,0,,0,false,5,5,193950,193950,193950,0,0,0,,,0,3.44,0,6.5,1,1020340015,,234,1001111,239632,40.8243939,-73.9390779,6a,,111N059,10709,,,,1,24v3,10,11,,,,,,,,,,,,,,1023400,10234001002
MN,2050,4,109,227,2001,6,9,10031,L023,30,720,1,3B,287 CONVENT AVENUE,R6A,,,,,,,,,,false,V1,11,0,X,UNITED STATES OF AMERICA,4675,0,,,,,,,,,7,1,,0,0,46.75,100,0,0,,0,false,5,5,401400,401400,401400,0,0,0,,,0,3,0,3,1,1020500004,,227,998757,238871,40.8223094,-73.947585,6a,,111S039,10709,,,,1,24v3,9,17,,,,,,,,,,,,,,1022700,10227002001
MN,1744,13,110,214,1000,5,9,10039,E059,32,800,1,4B,HARLEM RIVER DRIVE,R7-2,,,,,,,,,,false,V1,11,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,48096,0,,,,,,,,,7,0,,0,0,1367,30,0,0,,0,true,2,5,3580650,3580650,3580650,0,0,0,,,0,3.44,0,6.5,1,1017440013,,214,1002507,238639,40.8216656,-73.9340366,6a,,111N054,10607,,,,1,24v3,10,11,1,1,,,,,,,,,,t,,1021400,10214001000
MN,1373,11,108,238.01,1000,2,5,10044,E260,114,8300,,,MAIN STREET,R7-2,,,,,,,,,,false,V1,11,0,,"RIVERWALK 8 AFFORDABLE\\, L.P.",3705,0,,,,,,,,,7,0,,0,0,101.49,107.52,0,0,,0,false,6,5,614250,614250,0,0,0,0,,,0,3.44,0,6.5,1,1013730011,,23801,997620,215627,40.7585126,-73.9517394,9b,,1,1,,1013730010,12/06/2023,1,24v3,,13,1,1,,,,,,,,,,,,1023804,10238042000
MN,1373,25,108,238.01,1014,2,5,10044,E260,114,8300,1,,WEST LOOP ROAD,C4-5,,,,,,SRI,,,,false,V1,11,0,C,CORNELL UNIVERSITY,43277,0,,,,,,,,,7,0,,0,0,251.64,489.64,0,0,,0,true,2,5,11391300,11391300,11391300,0,0,0,,,0,3.44,3.4,6.5,1,1013730025,,23801,996266,214325,40.7549409,-73.9566291,8d,true,106E070,10507,,1013730020,08/25/2014,1,24v3,8,13,,,,,,,,,,,,,,1023804,10238041000
MN,1373,20,108,238.01,1016,2,5,10044,E260,114,8300,1,,SOUTH LOOP ROAD,C4-5,,,,,,SRI,,,,false,V1,11,0,C,CORNELL UNIVERSITY,286626,0,,,,,,,,,7,0,,0,0,808.41,364.48,0,0,,0,true,4,5,50637150,50637150,50637150,0,0,0,,,0,3.44,3.4,6.5,1,1013730020,,23801,996134,213959,40.7539365,-73.9571062,8d,true,106E070,10507,,1013730020,08/25/2014,1,24v3,8,13,,1,,,,,,,,,,,,1023804,10238041001
