borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes
MN,1270,44,105.0,4.0,10019.0,18.0,10 WEST 55TH STREET,,V1,11,,10 W 55 LLC,10344,0,23.0,100.42,5,3701250,0,,,1,990918.0,216842.0,40.7618551,-73.9759298,8c,
MN,1271,48,105.0,4.0,10019.0,18.0,WEST 56 STREET,,V1,11,,ERDELYI BRUNHILDE,150,0,5.42,50.0,8,2250,0,,,1,991009.0,217029.0,40.7623683,-73.9756012,8c,
MN,1272,23,105.0,4.0,10019.0,18.0,21 WEST 56 STREET,,V1,11,,"NINETEEN WEST REALTY COMPANY, LLC",5020,0,50.0,100.42,5,1718100,0,,,1,991012.0,217263.0,40.7630106,-73.9755901,8c,
MN,1289,65,105.0,4.0,10022.0,18.0,8 EAST 54 STREET,,V1,11,,TISHMAN SPEYER,1500,0,15.0,100.0,5,817200,0,,,1,991224.0,216369.0,40.7605566,-73.9748257,8c,
MN,1342,51,106.0,4.0,10022.0,17.0,300 EAST 50 STREET,,V1,11,,300 EAST 50TH STREET OWNER LLC,11398,0,113.5,100.42,3,1952100,0,,,1,993024.0,214181.0,40.7545495,-73.9683311,8d,
MN,2063,36,109.0,9.0,10031.0,30.0,773 ST NICHOLAS AVENUE,,V1,11,,VINCENT SOLLAZZO-LAMP,2060,0,20.42,105.42,5,160200,0,Hamilton Heights / Sugar Hill Historic District,,1,999901.0,240442.0,40.8266194,-73.943448,6a,
MN,1284,21,105.0,4.0,10017.0,18.0,413 MADISON AVENUE,,V1,11,,415 MADISON AVE LLC,11675,0,100.0,116.67,3,9971100,0,,,1,990883.0,214950.0,40.7566621,-73.9760581,8d,
MN,705,50,104.0,3.0,10001.0,10.0,WEST 34 STREET,,V1,11,,HUDSON BOULEVARD SLIVER OWNER LLC,2176,0,16.82,197.5,8,25200,0,,,1,984052.0,214244.0,40.7547268,-74.0007147,8d,
MN,2024,154,110.0,9.0,10030.0,32.0,WEST 139 STREET,,V1,11,,"ROBERTS, MICHELE A",1199,0,12.0,99.92,8,13500,0,,,1,999767.0,237476.0,40.8184788,-73.9439391,6a,
MN,2023,55,110.0,9.0,10030.0,32.0,WEST 138 STREET,,V1,11,C,NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,1188,0,12.0,99.0,8,13500,0,,,1,999631.0,237256.0,40.8178752,-73.9444309,6a,
MN,1960,34,110.0,9.0,10030.0,32.0,321 WEST 136 STREET,,V1,11,,GRATITUDE CAPITAL LLC,2548,0,25.5,99.92,5,270000,0,Dorrance Brooks Square Historic District,,1,998959.0,237214.0,40.817761,-73.9468588,6a,
MN,2026,15,110.0,9.0,10030.0,32.0,225 WEST 140 STREET,,V1,11,X,MAXWELL DEVELOPMENT L,5562,0,55.66,99.92,5,550350,0,,,1,1000088.0,237777.0,40.8193044,-73.9427786,6a,
MN,2024,132,110.0,9.0,10030.0,32.0,7 AVENUE,,V1,11,,2370 ADAM CLAYTON POWELL JR. LLC,971,0,12.5,77.67,8,12150,0,,,1,1000190.0,237191.0,40.8176958,-73.9424115,6a,
MN,2026,24,110.0,9.0,10030.0,32.0,207-209 WEST 140TH STREET,,V1,11,X,"NYC PARTNERSHIP HDFC, INC.",5596,0,36.0,99.92,5,612000,0,,,1,1000284.0,237669.0,40.8190076,-73.9420707,6a,
MN,2024,43,110.0,9.0,10030.0,32.0,WEST 139 STREET,,V1,11,C,"JESSIMAN-KETCHAM, KATHARINE",1199,0,12.0,99.92,8,13500,0,,,1,1000021.0,237336.0,40.8180941,-73.9430217,6a,
MN,2062,2,109.0,7.0,10031.0,30.0,1763 AMSTERDAM AVENUE,,V1,11,,"EMPIRE DEVELOPMENT FUND, LLC",12467,0,124.67,100.0,5,1045800,0,,,1,999153.0,240462.0,40.8266755,-73.9461507,6a,
MN,2011,48,110.0,9.0,10030.0,32.0,126 WEST 143 STREET,,V1,11,X,MALCOLM X II PHASE AASC,4163,0,41.67,99.92,5,306000,0,,,1,1001209.0,237866.0,40.8195466,-73.9387283,6a,
MN,1363,64,106.0,4.0,10022.0,17.0,EAST 52 STREET,,V1,11,,BEEKMAN CAMPANILE INC,3300,0,100.75,47.83,3,1797750,0,,,1,994460.0,213984.0,40.7540072,-73.9631483,8d,
MN,2067,7,109.0,7.0,10031.0,30.0,475 WEST 152 STREET,,V1,11,,475 WEST 152 LLC,1475,0,32.17,77.92,6,54000,0,,,1,999873.0,241525.0,40.8295919,-73.9435467,3b,
MN,859,4,105.0,2.0,10016.0,14.0,273 5 AVENUE,,V1,11,,"PREMIER 273 FIFTH, LLC",2600,0,26.0,100.0,5,1166400,0,,,1,988037.0,210865.0,40.7454515,-73.986333,8d,
MN,831,1,105.0,3.0,10001.0,14.0,836 AVENUE OF THE AMER,,V1,11,,"K.C. 836, LLC",996,0,24.67,40.33,3,691650,0,,,1,987082.0,211307.0,40.746665,-73.9897794,8d,
