borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
BK,587,24,306.0,38.0,11231.0,76.0,73 DIKEMAN STREET,NY,V0,11,,CABALEIRO JUAN,2500,0,25.0,100.0,5,40560,0,,,3,980745.0,185517.0,40.6758773,-74.012636,16a,,New York
BK,598,6,306.0,38.0,11231.0,76.0,393 VAN BRUNT STREET,NY,V1,11,,393 VAN BRUNT ST. LLC,1800,0,20.0,90.0,5,61200,0,,,3,980294.0,185516.0,40.6758744,-74.014262,16a,,New York
BK,599,1,306.0,38.0,11231.0,76.0,211 RICHARDS STREET,NY,V1,11,,DYMAXION IAS LLC,2000,0,20.0,100.0,5,67500,0,,,3,980696.0,185130.0,40.6748151,-74.0128125,16a,,New York
BK,556,22,306.0,38.0,11231.0,76.0,105 KING STREET,NY,V0,11,,NY 103 KING LLC,2000,0,20.0,100.0,5,32520,0,,,3,981214.0,186145.0,40.6776012,-74.0109455,16a,,New York
BK,546,7,306.0,38.0,11231.0,76.0,297 VAN BRUNT STREET,NY,V1,11,,"SPIELFOGEL, LARRY R",1219,0,17.5,69.67,5,148050,0,,,3,981172.0,186511.0,40.6786058,-74.0110971,16a,,New York
BK,575,12,306.0,38.0,11231.0,76.0,119 WOLCOTT STREET,NY,V0,11,,RED HOOK BUILDING COMPANY LLC,3000,0,30.0,100.0,5,52860,0,,,3,980420.0,186157.0,40.6776339,-74.0138081,16a,,New York
BK,575,16,306.0,38.0,11231.0,76.0,113 WOLCOTT STREET,NY,V3,11,,"RUGGIERO, JOSEPH",2500,0,25.0,100.0,5,40560,0,,,3,980471.0,186112.0,40.6775104,-74.0136242,16a,,New York
BK,5936,24,310.0,47.0,11209.0,68.0,7503 SHORE ROAD,NY,V0,11,X,BAY RIDGE PREPARATORY SCHOOL,4688,0,37.5,125.0,3,45000,0,,,3,974082.0,170040.0,40.6333912,-74.0366338,22a,,New York
BK,728,25,307.0,38.0,11232.0,72.0,342 43 STREET,NY,V0,11,,342 43RD ST LLC,1953,0,19.5,100.17,5,13800,0,,,3,981553.0,176397.0,40.6508452,-74.0097194,16b,,New York
BK,345,26,306.0,39.0,11231.0,76.0,348 COURT STREET,NY,V1,11,,UNION & COURT REALTYCORP.,2500,0,25.0,100.0,3,121500,0,,,3,985297.0,187884.0,40.6823748,-73.996225,16c,,New York
BK,692,48,307.0,38.0,11232.0,72.0,367 36 STREET,NY,V1,11,,367-36 REALTY LLC,1729,0,23.0,75.17,5,103500,0,,,3,982944.0,177807.0,40.6547157,-74.0047068,16b,,New York
BK,5950,47,310.0,47.0,11209.0,68.0,7614 4 AVENUE,NY,V0,11,,7614 LLC,9937,0,90.33,110.0,5,138600,0,,,3,977068.0,168744.0,40.6298369,-74.0258743,22a,,New York
BK,408,41,306.0,39.0,11231.0,76.0,232 SMITH STREET,NY,V1,11,,232 SMITH LLC,5000,0,50.0,100.0,3,532800,0,,,3,986283.0,188405.0,40.6838047,-73.9926699,16c,,New York
BK,397,43,306.0,39.0,11201.0,76.0,371 BALTIC STREET,NY,V0,11,,"SUN STAR REAL ESTATE DEVELOPMENT 2021C,  LLC",2500,0,25.0,100.0,5,39120,0,,,3,987009.0,188617.0,40.6843864,-73.9900521,16c,,New York
BK,411,24,306.0,39.0,11217.0,78.0,226 NEVINS STREET,NY,V1,11,C,DEPT. OF ENVIROMENTAL PROTECTEION  SERVI CES,52000,0,230.0,227.0,3,897750,0,,,3,988034.0,187554.0,40.6814683,-73.986357,16c,,New York
BK,418,1,306.0,39.0,11217.0,78.0,242 NEVINS STREET,NY,V1,11,C,DEPARTMENT OF ENVIRONMENTAL PROTECTION,51750,0,230.0,225.0,3,2046150,0,,,3,987928.0,187347.0,40.6809002,-73.9867393,16c,,New York
BK,915,9,307.0,38.0,11232.0,72.0,712 39 STREET,NY,V1,11,,348 37TH STREET LLC,2113,0,22.0,100.17,5,99900,0,,,3,984442.0,175439.0,40.6482161,-73.9993081,22c,,New York
