borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,state,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,x,y,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1313,63,105.0,112.03,2000.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,120 EAST 59 STREET,,C5-2.5,,,,,,MiD,,,,False,V1,11,0,,118 EAST 59TH STREET REALTY LLC,5021,0,,,,,,,,,7,0,,0,0,50.0,100.42,0,0,,0,False,5,5,2952900,2952900,0,0,0,0,,,0.0,10.0,12.0,12.0,1,1013130063,,11203.0,992827.0,217019.0,40.7623393,-73.9690385,8c,,106E045,10505.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011203.0,10112032000.0
MN,2050,158,109.0,227.0,2000.0,6.0,9.0,10030.0,L023,30.0,720.0,1.0,3B,ST NICHOLAS AVENUE,,R6A,,,,,,,,,,False,V1,11,0,,CHIN YUIEN M,990,0,,,,,,,,,7,0,,0,0,55.0,18.0,0,0,,0,False,6,5,12150,12150,0,0,0,0,,,0.0,3.0,0.0,3.0,1,1020500158,,227.0,999139.0,238927.0,40.8224624,-73.9462047,6a,,111S039,10709.0,,,,1,24v3,9.0,17.0,,,,,,,,,,,,,,1022700.0,10227002000.0
MN,2034,17,110.0,234.0,1002.0,5.0,9.0,10039.0,E069,32.0,800.0,1.0,4A,223 WEST 148 STREET,,R7-2,,,,,,,,,,False,V1,11,0,X,HARLEM CONGREGATION FOR COMMUNITY IMPROV EMENT INC,2498,0,,,,,,,,,7,0,,0,0,25.0,99.92,0,0,,0,False,5,5,193950,193950,193950,0,0,0,,,0.0,3.44,0.0,6.5,1,1020340017,,234.0,1001155.0,239608.0,40.824328,-73.938919,6a,,111N059,10709.0,,,,1,24v3,10.0,11.0,,,,,,,,,,,,,,1023400.0,10234001002.0
MN,2034,15,110.0,234.0,1002.0,5.0,9.0,10039.0,E069,32.0,800.0,1.0,4A,WEST 148 STREET,,R7-2,,,,,,,,,,False,V1,11,0,X,HARLEM CONGREGATIONS FOR COMMUNITY IMPRO VEMENT INC,2498,0,,,,,,,,,7,0,,0,0,25.0,99.92,0,0,,0,False,5,5,193950,193950,193950,0,0,0,,,0.0,3.44,0.0,6.5,1,1020340015,,234.0,1001111.0,239632.0,40.8243939,-73.9390779,6a,,111N059,10709.0,,,,1,24v3,10.0,11.0,,,,,,,,,,,,,,1023400.0,10234001002.0
MN,2050,4,109.0,227.0,2001.0,6.0,9.0,10031.0,L023,30.0,720.0,1.0,3B,287 CONVENT AVENUE,,R6A,,,,,,,,,,False,V1,11,0,X,UNITED STATES OF AMERICA,4675,0,,,,,,,,,7,1,,0,0,46.75,100.0,0,0,,0,False,5,5,401400,401400,401400,0,0,0,,,0.0,3.0,0.0,3.0,1,1020500004,,227.0,998757.0,238871.0,40.8223094,-73.947585,6a,,111S039,10709.0,,,,1,24v3,9.0,17.0,,,,,,,,,,,,,,1022700.0,10227002001.0
MN,1744,13,110.0,214.0,1000.0,5.0,9.0,10039.0,E059,32.0,800.0,1.0,4B,HARLEM RIVER DRIVE,,R7-2,,,,,,,,,,False,V1,11,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,48096,0,,,,,,,,,7,0,,0,0,1367.0,30.0,0,0,,0,True,2,5,3580650,3580650,3580650,0,0,0,,,0.0,3.44,0.0,6.5,1,1017440013,,214.0,1002507.0,238639.0,40.8216656,-73.9340366,6a,,111N054,10607.0,,,,1,24v3,10.0,11.0,1.0,1.0,,,,,,,,,,t,,1021400.0,10214001000.0
MN,1373,11,108.0,238.01,1000.0,2.0,5.0,10044.0,E260,114.0,8300.0,,,MAIN STREET,,R7-2,,,,,,,,,,False,V1,11,0,,"RIVERWALK 8 AFFORDABLE, L.P.",3705,0,,,,,,,,,7,0,,0,0,101.49,107.52,0,0,,0,False,6,5,614250,614250,0,0,0,0,,,0.0,3.44,0.0,6.5,1,1013730011,,23801.0,997620.0,215627.0,40.7585126,-73.9517394,9b,,1,1.0,,1013730010.0,12/06/2023,1,24v3,,13.0,1.0,1.0,,,,,,,,,,,,1023804.0,10238042000.0
MN,1373,25,108.0,238.01,1014.0,2.0,5.0,10044.0,E260,114.0,8300.0,1.0,,WEST LOOP ROAD,,C4-5,,,,,,SRI,,,,False,V1,11,0,C,CORNELL UNIVERSITY,43277,0,,,,,,,,,7,0,,0,0,251.64,489.64,0,0,,0,True,2,5,11391300,11391300,11391300,0,0,0,,,0.0,3.44,3.4,6.5,1,1013730025,,23801.0,996266.0,214325.0,40.7549409,-73.9566291,8d,True,106E070,10507.0,,1013730020.0,08/25/2014,1,24v3,8.0,13.0,,,,,,,,,,,,,,1023804.0,10238041000.0
MN,1373,20,108.0,238.01,1016.0,2.0,5.0,10044.0,E260,114.0,8300.0,1.0,,SOUTH LOOP ROAD,,C4-5,,,,,,SRI,,,,False,V1,11,0,C,CORNELL UNIVERSITY,286626,0,,,,,,,,,7,0,,0,0,808.41,364.48,0,0,,0,True,4,5,50637150,50637150,50637150,0,0,0,,,0.0,3.44,3.4,6.5,1,1013730020,,23801.0,996134.0,213959.0,40.7539365,-73.9571062,8d,True,106E070,10507.0,,1013730020.0,08/25/2014,1,24v3,8.0,13.0,,1.0,,,,,,,,,,,,1023804.0,10238041001.0
MN,1273,10,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,41 WEST 57 STREET,,C5-3,,,,,,MiD,,,,False,V1,11,0,,BOB 57 DEVELOPMENT LLC,3414,0,,,,,,,,,7,0,,0,0,34.0,100.42,0,0,,0,False,5,5,2200950,2200950,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012730010,,11201.0,990872.0,217683.0,40.7641635,-73.9760951,8c,,106W034,10502.0,E-643,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0
